id,Rings
90615,8.126042366027832
90616,8.145467758178711
90617,8.461874008178711
90618,8.517971992492676
90619,7.055315017700195
90620,7.932651519775391
90621,9.999813079833984
90622,6.323733329772949
90623,7.130376815795898
90624,8.922196388244629
90625,9.503813743591309
90626,6.451766014099121
90627,8.721309661865234
90628,10.546154975891113
90629,6.970272064208984
90630,7.156804084777832
90631,9.8751802444458
90632,5.996211051940918
90633,8.991909980773926
90634,8.620344161987305
90635,6.019627571105957
90636,6.988547325134277
90637,8.090309143066406
90638,7.694485664367676
90639,8.198539733886719
90640,8.864482879638672
90641,7.4161858558654785
90642,8.37531852722168
90643,5.995784282684326
90644,8.775819778442383
90645,8.303322792053223
90646,7.734271049499512
90647,9.1795015335083
90648,9.976569175720215
90649,10.553672790527344
90650,8.546834945678711
90651,7.980673789978027
90652,7.9093170166015625
90653,10.224692344665527
90654,6.478934288024902
90655,7.259387016296387
90656,8.573270797729492
90657,7.264487266540527
90658,6.647432327270508
90659,8.203422546386719
90660,6.765736103057861
90661,7.27114200592041
90662,6.78895378112793
90663,8.530653953552246
90664,6.983933448791504
90665,10.664076805114746
90666,7.800747871398926
90667,5.989380836486816
90668,8.482516288757324
90669,7.968754768371582
90670,8.124670028686523
90671,8.702052116394043
90672,7.808829307556152
90673,10.258172035217285
90674,6.925014495849609
90675,5.989380836486816
90676,9.198027610778809
90677,8.698290824890137
90678,5.989380836486816
90679,7.662552833557129
90680,8.563620567321777
90681,8.36580753326416
90682,10.546977043151855
90683,8.182114601135254
90684,9.580503463745117
90685,8.751453399658203
90686,6.626206874847412
90687,8.645770072937012
90688,7.849647521972656
90689,8.849942207336426
90690,14.02679443359375
90691,7.267632484436035
90692,8.834709167480469
90693,9.838481903076172
90694,7.9828691482543945
90695,7.776745796203613
90696,8.148950576782227
90697,6.712810516357422
90698,8.150538444519043
90699,5.989380836486816
90700,8.735169410705566
90701,8.586593627929688
90702,8.355138778686523
90703,9.732111930847168
90704,5.989380836486816
90705,9.229765892028809
90706,8.998927116394043
90707,6.138031005859375
90708,7.544214248657227
90709,8.002880096435547
90710,8.22799301147461
90711,8.1268310546875
90712,7.975868225097656
90713,11.026856422424316
